0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1645,2342,1763,2004,1576,2301,1652,1740,1402,1979,1595,2657,2815,1396,1742,1685,4622,1492,1550,7120,5983
2860,3498,170,3103,2739,3432,2818,2883,2613,3070,2428,3692,4453,2408,2891,2819,5779,2636,2011,8285,7138
2396,3477,1928,3082,3267,3044,2797,2862,2037,2530,2488,2608,3353,2397,2962,2694,5766,2761,2291,8215,7072
2991,3631,1261,3225,2871,3564,2950,3016,2732,3253,2537,3641,4399,2535,3021,2951,6205,2767,1964,9218,8063
3665,4026,1666,3623,3544,4225,3545,3687,3415,3868,1920,4454,5232,2719,3701,3328,5836,3445,2749,8473,7327
1968,2609,1585,2266,1849,2564,1926,2005,1720,2204,2075,3016,3041,1553,2012,1926,4890,1763,1059,7384,6248
1766,2977,1830,2624,2006,2594,2290,2363,1526,2076,2233,2696,2914,1920,2508,2203,5267,2311,1834,7756,6616
3075,3715,652,3311,2952,3646,3033,3096,2821,3285,2635,3892,4663,2621,3106,3036,6012,2855,2221,8505,7359
2452,3493,1845,3104,2735,3259,2813,2880,2204,2975,2389,3069,3823,2407,3173,2872,6048,2973,2144,8684,7536
1092,1271,2714,1196,304,1368,560,686,1565,1468,2590,1835,1792,1396,805,1341,4251,764,2515,5970,4836
1061,1626,2751,1541,800,1337,942,1032,1275,1739,2625,1835,1753,1434,771,1380,4517,750,2553,5948,4812
1251,1628,2859,1540,620,1436,886,915,1457,1869,2737,1909,1856,1546,873,1491,4516,591,2663,6038,4903
1149,1374,2755,1270,387,1237,767,740,1207,1347,3042,1713,1654,1438,680,1384,4245,688,2557,5874,4714
980,1445,2490,1360,637,1511,757,863,1279,1610,2373,1980,1931,1168,947,1110,4329,973,2270,6109,4974
1435,862,3030,813,975,1738,586,861,1759,1650,2976,2025,1982,2063,992,1677,3781,1125,2824,5621,4498
1050,1345,2623,1088,174,1168,619,450,1093,1275,2920,1653,1573,1286,619,1264,4059,759,2399,5788,4652
1226,1253,2794,1310,417,1327,783,501,1241,1446,3076,1819,1760,1466,945,1443,4330,970,2587,6079,4944
1325,1012,2893,983,900,1360,506,809,1655,1659,3011,2032,1997,2078,1010,1541,3763,1141,2690,5604,4467
1219,886,2789,876,714,1484,300,624,1548,1555,2916,1931,1871,1460,900,1437,3871,1036,2581,5706,4571
1145,968,2718,1063,720,1365,426,628,1475,1481,3001,1854,1796,1385,1109,1362,4020,961,2507,6219,5085
3101,3774,4021,3284,3338,4157,3223,3515,2988,3448,2899,4259,4290,2308,3633,2919,3240,3147,3754,7875,6734
2443,3114,3321,2688,2742,3569,2633,2921,2331,2794,2568,3616,3627,1648,3035,2259,3334,2491,3472,7241,6135
1924,2147,3438,1447,1594,2428,1485,1774,1810,2787,2607,2893,2889,1640,1879,2250,3116,2016,3257,6352,5246
2126,2098,3392,1399,1546,2382,1436,1729,2012,2739,2562,2845,2839,1593,1832,2198,3829,1972,3210,6353,5247
2065,2860,2142,2448,1952,2638,2031,2082,1805,2278,1695,3085,3120,942,2098,1969,4546,1854,1612,7185,6081
1479,2118,1953,1800,1365,2082,1445,1501,1223,1723,1790,2504,2557,1083,1523,1435,4396,1278,1800,6890,5784
2496,3129,2572,2720,2775,3600,2665,2953,2356,2891,698,3709,3727,1745,3067,2362,4960,2548,1149,7483,6378
2825,3437,2180,3050,2906,3576,2975,3030,2753,3213,900,3943,4053,2077,3042,2687,5278,2791,716,7821,6711
2557,1535,3661,1685,1837,1918,1725,2022,2438,2891,2823,3224,2743,1865,2242,2484,3063,2263,3482,5225,4112
3592,2523,4643,2704,2862,2708,2752,3036,3469,3622,4442,3963,3471,2879,3169,3486,3237,3478,4480,5565,4457
3882,2743,4710,2978,3132,3074,3018,3306,3774,3998,3951,4302,3855,3099,3547,3703,1376,3855,4832,5912,4808
4258,3063,5365,3305,3461,3841,3341,3633,4153,4775,4317,5059,4633,3474,4255,4078,1096,3893,5143,6676,5571
757,2285,2727,1883,1376,1590,1666,1745,755,1508,2564,2007,2078,1373,1341,1277,4975,1096,2504,6339,5233
933,2575,2827,2024,1730,1302,1442,1954,906,1441,2635,1722,1794,1475,1439,1301,4943,960,2608,6088,4984
1603,1213,2939,1348,788,981,1091,942,1368,1555,3121,1915,1650,1603,485,1586,4154,1125,2720,5846,4742
